LGA,State,Country,lon,lat
Illela,Sokoto State,Nigeria,5.3520876,13.717481
Ilorin East,Kwara State,Nigeria,4.7898731,8.6083453
Ilorin South,Kwara State,Nigeria,4.6657027,8.4346609
Ilorin West,Kwara State,Nigeria,4.5108862,8.4911827
Imeko Afon,Ogun State,Nigeria,2.8379588,7.4477356
Ingawa,Katsina State,Nigeria,8.0492462,12.6406844
Ini,Akwa Ibom State,Nigeria,7.7416703,5.3866006
Ipokia,Ogun State,Nigeria,2.8402583,6.5250214
Irele,Ondo State,Nigeria,4.8702156,6.4883332
Irepo,Oyo State,Nigeria,3.8655303,9.0368445
Irepodun,Kwara State,Nigeria,4.8520636,8.148653
Irepodun,Osun State,Nigeria,4.5315029,7.9021368
Irepodun/Ifelodun,Ekiti State,Nigeria,5.2475518,7.7312585
Irewole,Osun State,Nigeria,4.2128337,7.3966885
Isa,Sokoto State,Nigeria,6.1526985,13.1926106
Ise/Orun,Ekiti State,Nigeria,5.4149003,7.4268554
Iseyin,Oyo State,Nigeria,3.5913939,7.9764931
Ishielu,Ebonyi State,Nigeria,7.8286368,6.3907251
Isiala Mbano,Imo State,Nigeria,7.1782682,5.7084257
Isiala Ngwa North,Abia State,Nigeria,7.4165053,5.2868186
Isiala Ngwa South,Abia State,Nigeria,7.4165053,5.4114338
Isin,Kwara State,Nigeria,5.018246,8.2338123
Isi Uzo,Enugu State,Nigeria,7.7416703,6.7308981
Isokan,Osun State,Nigeria,4.1718542,7.3108412
Isoko North,Delta State,Nigeria,6.2163597,5.5919041
Isoko South,Delta State,Nigeria,6.195132,5.4042968
Isu,Imo State,Nigeria,7.0605998,5.6972693
Isuikwuato,Abia State,Nigeria,7.4814163,5.8069731
Itas/Gadau,Bauchi State,Nigeria,10.1255164,11.934262
Itesiwaju,Oyo State,Nigeria,3.5407909,8.1621641
Itu,Akwa Ibom State,Nigeria,8.0247005,5.1550917
Ivo,Ebonyi State,Nigeria,7.633113,5.9096556
Iwajowa,Oyo State,Nigeria,3.0175712,8.0355073
Iwo,Osun State,Nigeria,4.1872178,7.6292088
Izzi,Ebonyi State,Nigeria,8.265058,6.5528936
Jaba,Kaduna State,Nigeria,8.0247005,9.4753712
Jada,Adamawa State,Nigeria,12.1575544,8.7653111
Jahun,Jigawa State,Nigeria,9.6257837,12.0788907
Jakusko,Yobe State,Nigeria,10.7746224,12.3806343
Jalingo,Taraba State,Nigeria,11.3771496,8.8928524
Jama'are,Bauchi State,Nigeria,9.9283477,11.669685
Jega,Kebbi State,Nigeria,4.3822109,12.2257507
Jema'a,Kaduna State,Nigeria,8.2212979,9.3607042
Jere,Borno State,Nigeria,13.2201828,11.8948004
Jibia,Katsina State,Nigeria,7.2248378,13.0930867
Jos East,Plateau State,Nigeria,9.1013498,9.8679247
Jos North,Plateau State,Nigeria,8.8803925,9.9180654
Jos South,Plateau State,Nigeria,8.8142264,9.7650607
Kabba/Bunu,Kogi State,Nigeria,6.195132,8.2174523
Kabo,Kano State,Nigeria,8.2301846,11.9065366
Kachia,Kaduna State,Nigeria,7.9551999,9.8734418
Kaduna North,Kaduna State,Nigeria,7.4489531,10.5432199
Kaduna South,Kaduna State,Nigeria,7.4056928,10.4548808
Kafin Hausa,Jigawa State,Nigeria,9.9241575,12.189788
Kafur,Katsina State,Nigeria,7.654811,11.6505302
Kaga,Borno State,Nigeria,12.5298028,11.5245781
Kagarko,Kaduna State,Nigeria,7.6955129,9.4910276
Kaiama,Kwara State,Nigeria,3.9419415,9.6062133
Kaita,Katsina State,Nigeria,7.7615855,13.0755004
Kajola,Oyo State,Nigeria,3.3792057,7.9891543
Kajuru,Kaduna State,Nigeria,7.6832998,10.3242857
Kala/Balge,Borno State,Nigeria,14.5189214,12.0081346
Kalgo,Kebbi State,Nigeria,4.2000242,12.3342413
Kaltungo,Gombe State,Nigeria,11.3119092,9.8201485
Kanam,Plateau State,Nigeria,9.9912254,9.4907048
Kankara,Katsina State,Nigeria,7.413802,11.9313228
Kanke,Plateau State,Nigeria,9.5896043,9.3702261
Kankia,Katsina State,Nigeria,7.8286368,12.462174
Kano Municipal,Kano State,Nigeria,8.5007116,11.9600036
Karasuwa,Yobe State,Nigeria,10.6647101,12.9088044
Karaye,Kano State,Nigeria,8.0110677,11.7848816
Karim Lamido,Taraba State,Nigeria,11.192885,9.3203791
Karu,Nasarawa State,Nigeria,7.6004644,9.0268067
Katagum,Bauchi State,Nigeria,10.3525964,12.289736
Katcha,Niger State,Nigeria,6.3133033,8.7602341
Katsina,Katsina State,Nigeria,7.6222665,12.9815608
Katsina-Ala,Benue State,Nigeria,9.2841023,7.1657856
Kaura,Kaduna State,Nigeria,8.5034561,9.6321773
Kaura Namoda,Zamfara State,Nigeria,6.5863469,12.5951892
Kauru,Kaduna State,Nigeria,8.1488775,10.57481
Kazaure,Jigawa State,Nigeria,8.4120775,12.6532933
Keana,Nasarawa State,Nigeria,8.8004489,8.150144
Kebbe,Sokoto State,Nigeria,4.8105955,11.9394717
Keffi,Nasarawa State,Nigeria,7.8776023,8.8471213
Khana,Rivers State,Nigeria,7.394882,4.6475715
Kibiya,Kano State,Nigeria,8.6573084,11.5291917
Kirfi,Bauchi State,Nigeria,10.5296115,10.3561675
Kiri Kasama,Jigawa State,Nigeria,10.2144571,12.5941828
Kiru,Kano State,Nigeria,8.1365868,11.7022386
Kiyawa,Jigawa State,Nigeria,9.597952,11.7808864
Kogi,Kogi State,Nigeria,6.8779926,8.1195008
Koko/Besse,Kebbi State,Nigeria,4.43879,11.4458287
Kokona,Nasarawa State,Nigeria,7.9810845,8.7738702
Kolokuma/Opokuma,Bayelsa State,Nigeria,6.2588369,5.0919902
